Time,transformer_tap
1,9
2,9
3,9
4,9
5,9
6,8
7,9
8,10
9,9
10,10
11,8
12,8
13,9
14,9
15,10
16,9
17,9
18,9
19,10
20,9
21,9
22,9
23,9
24,9
