irradiance,PV-0,PV-1,PV-2,PV-3,PV-4,PV-5,PV-6,PV-7,PV-8,PV-9,PV-10,PV-11,PV-12,PV-13,PV-14,PV-15,PV-16,PV-17,PV-18,PV-19,PV-20,PV-21,PV-22,PV-23,PV-24,PV-25,PV-26,PV-27,PV-28,PV-29
0.196246819,-80,-24.977703,63.441437,-41.494675,80,-55.00142,-80,23.173859,-80,34.88678,-38.571938,-80,-80,-10.889038,80,68.83235,80,-0.7098694,-71.40937,37.751175,42.03637,80,-31.387348,11.242554,61.184753,-80,80,80,-18.543121,80
0.293575064,44.635025,80,80,-80,-80,-15.790222,-80,-57.78141,2.7004929,80,-30.223282,-80,40.33835,-44.335766,44.668846,34.51568,-80,46.427773,-7.8300705,-57.852207,-34.037598,-55.3517,-80,37.776703,-80,80,-45.828876,78.96452,-80,-80
0.354643766,80,56.208252,80,-48.273933,80,-35.408363,-78.006,-52.443787,-73.38579,-80,-80,-80,-80,80,54.133484,-80,-80,59.573425,-75.25203,28.893013,-80,-80,-33.29425,-42.50976,-44.443874,-80,29.250885,80,80,80
0.368638677,5.505554,80,79.779175,80,80,-80,-80,80,-80,53.62822,80,-52.876953,80,-56.03895,80,66.52106,-14.982536,-4.9903107,80,-80,-80,46.59886,-7.0280914,80,-48.107475,80,-80,80,-73.760315,72.58185
0.301049618,-80,80,80,80,80,-80,80,10.359055,80,-69.24248,-1.6137848,-36.548164,80,-54.509407,80,-13.98526,-27.032463,77.00256,-75.40715,51.2274,-8.286217,80,-25.748451,-54.15515,-69.06947,-35.708115,-73.382065,78.125336,-9.092445,63.971497
0.235368957,53.35074,54.250763,-80,0.6532364,-80,16.408844,-49.552956,73.01007,-50.820923,-43.18122,-80,-80,-11.0156555,66.371124,-17.186665,36.8842,80,7.888794,-8.896873,-51.443146,-65.49814,22.21814,-70.40216,-80,80,-80,51.817444,59.23993,80,-80
0.12913486,17.464844,-8.4481125,-7.4957275,32.518143,62.28743,-80,-46.852066,74.61592,-55.755825,80,4.4055786,-80,68.314804,-15.968475,80,-3.3741913,-30.670418,43.083916,-24.87471,-80,-24.63976,80,-31.49519,-80,-80,38.083084,-80,-22.436096,5.7564087,18.221207
0.025763359,22.980972,42.668213,55.493164,-43.807835,11.827515,80,68.623535,77.71182,40.247864,80,-36.174957,80,80,-0.53725433,-80,-29.176666,-39.075203,25.029182,28.700447,-80,49.493973,-80,-1.1474533,-80,80,-38.448772,80,80,80,29.62236
0,-80,61.310516,50.23848,80,68.32445,80,75.374725,42.004272,80,-80,54.399124,31.359253,-42.635838,-80,80,-79.71515,8.138077,-49.584465,48.205887,8.150406,-80,-0.028892517,-80,-80,-80,80,-80,80,50.109726,19.307648
0,80,-2.7334213,54.44232,77.703415,15.745316,-18.880497,63.195328,24.457466,80,-65.752686,-48.98335,-80,-80,40.879433,-80,-75.167755,-80,13.413879,77.09781,-80,-80,-80,80,-22.697487,-71.308655,80,26.027176,27.763527,44.273796,80
0,-80,52.68637,80,-80,-32.342957,-80,-76.96619,37.45907,-80,80,12.568787,-80,-52.898182,76.91879,80,80,-22.779213,-22.750923,29.14051,32.3246,-36.1466,-58.07036,-80,80,-80,-80,-42.999912,45.717255,-11.249222,80
0,55.220276,31.909592,80,-43.6047,27.617271,80,-72.68868,29.533707,-4.410507,-80,20.592033,-80,-40.278034,56.503326,72.52609,-80,-43.699154,-18.25142,7.685684,-45.593544,-48.705063,70.16249,-80,-71.03488,34.697983,-80,-40.059315,80,-49.37966,22.450073
0,-73.13224,51.22171,-1.1274796,80,77.32271,-80,-22.112984,43.94722,36.62909,-50.389748,-42.719006,80,-31.65155,-31.212303,80,-12.989761,79.792145,49.07332,-80,14.970085,29.811165,-54.03687,-61.2341,80,-36.27598,-80,80,51.906662,-80,3.5104675
0,-80,32.79886,80,-55.192165,-36.64629,28.519173,-80,80,-28.981972,80,-80,80,-67.11402,61.03163,47.99008,80,80,79.92319,-28.190784,5.5523834,-80,-80,-80,-30.142632,-39.31429,53.708344,-8.915817,57.976395,32.994644,-80
