irradiance,PV-0,PV-1,PV-2,PV-3,PV-4,PV-5,PV-6,PV-7,PV-8,PV-9,PV-10,PV-11,PV-12,PV-13,PV-14,PV-15,PV-16,PV-17,PV-18,PV-19,PV-20,PV-21,PV-22,PV-23,PV-24,PV-25,PV-26,PV-27,PV-28,PV-29
0,-6.153839,80,60.67726,80,-80,80,-80,-12.497543,43.44227,-80,-80,-64.36638,0.45487213,-2.5784988,-80,80,-80,72.42871,56.201263,-41.04202,34.423065,-80,-79.65222,80,-36.072075,-80,80,38.560143,9.089447,-80
0,-13.436623,15.844154,22.522186,80,27.874985,-80,-23.175858,49.55458,16.632904,-80,-37.069855,-80,-1.5858078,-80,-19.92295,-14.237358,-67.98446,30.670776,7.0939484,-79.866745,-80,1.4711838,-80,-75.813156,33.840256,-28.49292,-80,-22.036102,42.10427,80
0,-80,80,80,-80,39.208694,-48.18183,-18.295204,-8.997086,-80,-32.635178,52.324707,80,12.568298,-50.911507,-34.68786,-1.3041,-80,-28.209171,15.682877,-67.018074,21.84224,80,-70.3243,-80,51.041946,-23.306004,80,80,8.063919,76.89455
0,-80,-80,10.926544,-80,-18.329372,80,44.00569,34.216217,48.263626,80,-43.616108,-80,13.316895,-26.710808,80,30.48294,-75.210785,33.7437,-44.17116,-80,-51.625298,80,-34.88231,-80,-2.8781052,80,23.61161,54.361435,39.150208,80
0,-80,20.267784,65.514755,80,-20.515396,80,7.3960724,60.390152,-76.96052,80,-77.14728,-49.968307,-3.019394,-60.57773,-80,-80,68.81094,19.118362,-25.03912,-17.920692,-40.64796,44.795578,-62.76573,-80,-51.000095,-23.310013,80,80,12.854843,46.77085
0,80,2.2023773,80,80,-80,5.7513275,-80,-34.28986,-80,-56.96498,-15.932571,80,-80,14.92923,-31.312428,20.059555,80,19.841248,-14.491165,-55.25038,-42.23125,80,-80,-80,-80,-80,29.683342,80,-80,80
0,-80,40.092506,10.566193,31.986786,16.71759,-22.214622,42.166786,80,36.091827,-40.502926,-67.08945,-80,-5.868332,43.98696,80,4.492424,80,-50.70118,44.74003,-20.737427,-78.323,-80,-80,-80,17.75766,-80,-80,24.306328,-13.67379,80
0,71.883514,80,60.01111,-80,22.723305,80,80,22.423187,-80,1.4465942,-80,-1.3659592,-8.791336,6.4470673,80,-80,-80,65.08455,80,-80,-53.49784,80,-23.430256,-80,-80,-80,80,-30.23079,-80,-78.07605
0.009860051,76.87982,-6.0692673,80,27.613052,-80,80,-70.85899,80,-80,71.98454,80,-80,25.166672,13.357773,-80,80,64.44534,51.955734,37.654335,-80,14.8487015,80,-73.03459,-69.28539,-80,-35.761467,80,80,80,-20.601883
0.089535623,80,80,65.11827,80,42.15248,80,80,63.625153,-5.8522644,-80,-56.56801,80,80,-40.54532,66.485535,-28.788948,58.988358,27.652733,80,-80,9.697891,-80,-72.76509,29.633179,21.508926,-54.900875,5.0677032,-3.2783203,-44.597706,-80
