Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action 16,Action 17,Action 18,Action 19,Action 20,Action 21,Action 22,Action 23,Action 24,Action 25,Action 26,Action 27,Action 28,Action 29,Action 30,Action 31,Action 32,Action 33,Action 34,Action 35,Action 36,Action 37,Action 38,Action 39,Action 40,Action 41,Action 42,Action 43,Action 44,Action 45,Action 46,Action 47,Action 48,Action 49,Action 50,Action 51,Action 52,Action 53,Action 54,Action 55,Action 56,Action 57,Action 58,Action 59,Action 60,Action 61,Action 62,Action 63,Action 64,Action 65,Action 66,Action 67,Action 68,Action 69,Action 70,Action 71,Action 72,Action 73,Action 74,Action 75,Action 76,Action 77,Action 78,Action 79,Action 80,Action 81,Action 82,Action 83,Action 84,Action 85,Action 86,Action 87,Action 88,Action 89,Action 90,Action 91,Action 92,Action 93,Action 94,Action 95
-80.0,-24.820854,13.346367,-42.852512,80.0,-47.78883,-80.0,54.266434,-80.0,56.81157,-48.02162,-80.0,-80.0,-4.812866,80.0,80.0,80.0,-23.575829,-80.0,80.0,80.0,80.0,-13.734154,37.32132,80.0,-80.0,80.0,80.0,-15.041016,80.0,100.0,92.508224,100.0,100.0,100.0,0.0,47.892227,55.29964,91.47482,0.0,100.0,88.032265,100.0,100.0,100.0,0.0,64.61474,16.646946,0.0,100.0,2.3969083,5.5255833,5.045801,38.54292,31.585335,0.0,100.0,99.46801,23.119354,40.647484,100.0,10.05497,0.0,0.0,21.745829,0.0,100.0,0.0,100.0,72.83702,14.8322315,100.0,100.0,100.0,100.0,100.0,43.860016,0.0,100.0,0.0,62.352394,13.038158,77.13704,35.80405,0.0,60.470943,100.0,0.0,100.0,100.0,0.96851534,1.0,0.3619175,0.35819745,0.0
56.720947,79.690765,80.0,-80.0,-75.940895,-3.9012985,-80.0,-58.92678,6.641678,80.0,-39.007645,-80.0,50.30345,-51.751923,46.13556,54.33139,-75.607994,45.138367,-3.0144653,-11.905296,6.0798798,-38.99145,-80.0,78.777954,-80.0,80.0,-68.11467,80.0,-80.0,-80.0,100.0,100.0,0.0,57.336773,0.0,100.0,86.86691,67.711975,100.0,100.0,13.058877,77.67912,64.59149,12.290298,100.0,47.325928,100.0,100.0,45.26406,100.0,100.0,100.0,21.556694,70.82785,80.61969,100.0,100.0,42.50146,100.0,100.0,0.0,53.843277,86.22697,92.82913,0.0,0.0,12.311154,54.071247,0.0,27.602785,50.84533,0.0,98.573074,0.0,63.24446,29.470783,41.31596,0.0,0.0,20.57932,70.23033,91.27839,84.9055,100.0,100.0,90.64599,0.0,100.0,100.0,11.338678,0.9707792,1.0,1.0,0.5731727,0.4002157
80.0,53.40329,43.07669,-47.46753,80.0,-25.859093,-80.0,-51.46373,-48.211304,-80.0,-80.0,-80.0,-80.0,80.0,58.8544,-80.0,-67.42403,64.30113,-80.0,80.0,-80.0,-80.0,-16.621826,-46.66088,-45.110264,-80.0,14.752876,80.0,80.0,80.0,100.0,72.70285,57.61905,100.0,0.0,60.547703,0.0,42.668064,100.0,75.874695,12.133914,30.42289,100.0,0.0,100.0,100.0,81.20188,0.0,75.48826,100.0,0.0,54.286774,0.0,57.01633,0.0,81.73942,93.13293,0.0,0.0,67.53373,84.89135,53.68101,0.0,9.139371,3.89933,0.0,41.22731,0.0,29.30609,0.0,0.0,23.558468,99.15223,0.0,0.0,0.0,41.584576,36.30802,0.0,100.0,92.839745,0.0,23.15764,1.5619308,71.04415,24.4272,0.0,22.797562,0.0,44.250782,0.9610832,1.0,1.0,0.0,0.70569634
20.764862,80.0,32.663177,80.0,80.0,-80.0,-80.0,80.0,-80.0,77.93138,80.0,-23.354683,80.0,-68.176056,80.0,80.0,16.503433,-29.815681,80.0,-80.0,-80.0,51.469177,23.152527,80.0,-50.141357,80.0,-80.0,80.0,-73.3531,80.0,0.0,32.879025,0.0,100.0,100.0,100.0,48.445076,49.00645,100.0,94.68385,0.0,82.08391,100.0,84.31854,100.0,0.0,40.686302,0.0,0.0,59.38,0.0,100.0,80.14819,0.0,59.448444,53.609188,100.0,53.42703,0.0,66.73103,100.0,95.70374,100.0,53.53611,45.949703,0.0,0.0,29.710943,99.398186,100.0,79.82427,97.16823,4.8611374,100.0,0.0,0.0,7.079646,50.12908,71.237755,100.0,75.76933,31.321419,100.0,100.0,0.0,100.0,100.0,0.0,0.0,91.904274,0.9647363,0.60613257,1.0,0.20570707,0.0
-80.0,80.0,80.0,80.0,80.0,-80.0,80.0,36.348557,80.0,-60.531494,-8.118195,-4.446892,80.0,-66.029465,80.0,-12.499588,6.19767,80.0,-80.0,80.0,43.47,80.0,-5.1950836,-64.85539,-78.92844,-24.941174,-80.0,80.0,-5.0606384,73.66907,100.0,59.225227,100.0,57.459003,14.594826,58.39918,0.0,17.820974,100.0,0.0,80.17138,79.66621,0.0,0.0,66.61991,20.62078,95.44184,82.311615,93.67445,10.485193,100.0,100.0,29.222813,0.0,0.0,41.14103,7.709253,100.0,0.0,30.674854,66.35602,0.0,0.0,54.88733,50.318558,0.0,0.0,0.0,100.0,100.0,95.908295,0.0,19.97386,69.755226,0.0,100.0,51.95394,60.16162,40.27922,100.0,31.395943,38.578457,81.552765,41.675137,19.508883,100.0,18.996174,0.0,100.0,0.0,0.96153283,1.0,1.0,0.30594072,0.60323656
64.729645,51.517166,-80.0,-14.160294,-80.0,32.137695,-58.768787,80.0,-31.943886,-31.163513,-80.0,-80.0,-2.523178,80.0,-36.98745,57.59468,80.0,-11.040588,-4.9697495,-3.031044,-39.59941,29.836258,-72.814316,-80.0,80.0,-80.0,39.66053,69.85062,80.0,-80.0,0.0,41.864506,0.0,75.29312,22.1091,0.0,0.0,66.84587,100.0,0.0,100.0,0.0,74.054184,100.0,100.0,0.0,91.89174,20.499336,0.0,52.241306,0.0,100.0,61.037956,30.658272,30.655092,0.0,17.127987,48.90425,87.21086,87.673676,0.0,100.0,42.39961,95.812904,100.0,0.0,57.428265,85.87907,100.0,0.0,49.362038,29.99017,0.0,74.40623,100.0,20.441431,11.669201,54.478233,0.0,21.993452,100.0,2.705309,100.0,14.432091,0.0,68.807724,92.597626,83.711365,100.0,100.0,0.96493745,1.0,0.44051868,0.0,0.0
31.753311,-8.893623,-70.517715,7.533539,80.0,-80.0,-56.275818,80.0,-35.502953,80.0,-1.6193771,-80.0,79.08194,-11.9423065,80.0,2.1203232,3.0833893,40.26541,-34.25745,-79.99118,19.718925,80.0,-13.904655,-80.0,-80.0,80.0,-80.0,-19.114437,10.619934,26.99897,100.0,0.0,48.05351,0.0,24.08061,42.84584,0.0,100.0,90.002,80.9544,0.0,69.69813,42.839863,100.0,100.0,16.270655,56.831722,100.0,14.153179,100.0,31.094334,46.51876,0.0,0.0,85.97467,100.0,65.61296,100.0,12.614268,100.0,0.0,35.57451,9.648663,72.59623,0.0,91.99397,22.715319,0.0,36.247223,100.0,65.1011,100.0,86.366295,100.0,67.11559,0.0,78.68065,100.0,80.030235,20.106415,0.0,95.05179,100.0,0.0,0.0,100.0,100.0,100.0,69.60199,100.0,0.9594185,0.45670635,1.0,0.31455025,0.877225
36.822166,40.357224,3.9562607,-44.42705,32.163307,80.0,50.301666,80.0,33.711685,80.0,-45.43319,80.0,80.0,9.712997,-80.0,-33.432674,-4.1054077,13.947754,63.9496,-50.716606,80.0,-80.0,32.047813,-80.0,80.0,-28.921349,80.0,80.0,80.0,38.62947,18.291605,0.0,100.0,85.57523,100.0,62.56821,88.32709,100.0,66.67656,34.292194,0.0,100.0,100.0,100.0,0.0,0.28319955,87.06999,76.16591,83.22988,0.0,29.58557,100.0,41.795765,0.0,59.039368,10.399032,23.419481,100.0,100.0,27.623623,0.0,76.94066,0.0,64.14192,0.0,0.0,5.769336,0.0,44.01812,23.744267,5.869928,91.52438,0.0,0.0,18.656767,100.0,41.45277,100.0,9.831667,35.81239,53.899364,75.903305,5.7950735,0.0,0.0,56.14058,100.0,0.0,79.81742,61.307304,0.9674156,1.0,1.0,0.0,0.0
-60.676655,58.31958,-2.256691,45.517426,80.0,80.0,56.532272,80.0,80.0,-80.0,52.35759,74.18173,-35.05036,-80.0,80.0,-80.0,36.27516,-80.0,80.0,79.48691,-66.01726,10.095749,-80.0,-80.0,-80.0,80.0,-80.0,80.0,57.458923,28.107414,0.0,53.661095,47.959553,74.70346,10.542459,0.0,55.27212,100.0,61.03989,100.0,100.0,7.5506506,30.083899,100.0,100.0,0.0,9.965533,84.39894,91.49329,0.0,0.0,0.0,100.0,83.09256,0.0,100.0,48.33497,78.63688,26.870419,95.13234,0.0,83.57694,0.0,28.111631,68.82688,29.027235,0.0,59.856216,100.0,45.94096,100.0,0.0,100.0,0.0,35.3725,0.0,59.47329,51.831085,0.0,94.17349,9.708696,88.92698,57.506794,32.34733,100.0,100.0,100.0,0.0,0.0,28.24751,0.97350734,1.0,1.0,0.5109254,1.0
80.0,-3.3877869,2.7113647,38.293777,36.53055,-7.3609543,45.291138,56.06024,80.0,-56.60034,-59.262142,-80.0,-80.0,67.83591,-80.0,-80.0,-80.0,-2.984871,80.0,-72.679504,-64.43418,-80.0,80.0,-15.708267,-80.0,80.0,11.196213,35.565186,51.296143,80.0,0.0,0.0,100.0,0.0,84.03558,100.0,56.991913,100.0,35.586864,85.851295,55.471657,100.0,38.881886,40.550396,31.20951,51.5835,15.48214,0.0,36.65636,73.95404,21.408897,51.66678,74.30165,84.436035,38.33431,0.0,72.56044,0.0,0.0,100.0,0.0,93.1819,83.706665,72.16867,47.34153,0.0,0.0,100.0,100.0,2.731094,57.576115,0.0,86.46126,0.0,55.512417,53.28984,46.73922,53.006042,0.0,0.0,57.74449,35.16423,100.0,100.0,14.657372,100.0,100.0,100.0,0.0,0.0,0.9673986,0.9549488,1.0,0.0,0.18455055
-80.0,50.00975,39.60045,-80.0,-17.063744,-80.0,-80.0,74.23903,-80.0,80.0,7.1948624,-80.0,-45.606915,80.0,80.0,80.0,9.833672,-55.70311,64.757935,80.0,3.0149841,-41.404285,-80.0,80.0,-80.0,-80.0,-64.99094,55.120987,-7.3383484,80.0,75.21973,39.702503,91.21844,100.0,0.0,5.6324453,68.45785,40.784317,79.03404,100.0,0.0,100.0,29.93552,100.0,100.0,36.980843,58.930416,100.0,42.099926,0.0,32.14994,22.963667,85.52346,13.042736,35.98176,100.0,41.45911,28.66772,0.0,83.376205,100.0,31.26059,81.988815,93.93849,22.51927,0.0,18.253984,0.0,14.318338,24.78908,0.0,100.0,86.827415,100.0,47.56988,0.0,48.731403,68.21236,75.26529,36.26671,24.554068,100.0,35.76934,53.75079,1.4546692,57.239063,0.0,31.216967,100.0,51.516693,0.96141,0.16013014,1.0,0.13610566,0.0
66.44769,29.991005,80.0,-44.28881,49.76349,80.0,-80.0,63.158813,1.5151672,-80.0,15.857468,-80.0,-32.624817,80.0,80.0,-80.0,-8.056931,-49.14637,25.428658,5.070404,-15.216431,72.37721,-80.0,-80.0,63.574615,-80.0,-61.746513,80.0,-47.605835,31.313583,0.0,54.927082,0.0,58.29066,0.0,100.0,90.487625,100.0,91.470634,100.0,0.0,100.0,89.05823,75.29279,100.0,70.6003,14.096004,57.786823,98.75101,100.0,0.0,54.600567,4.910648,25.839373,1.3939828,0.0,79.16671,7.1291924,0.0,81.774155,58.997772,30.616438,0.0,77.037346,47.815723,0.0,0.0,75.04804,100.0,92.85269,100.0,27.706882,100.0,0.0,0.0,100.0,79.326904,9.746018,0.0,0.0,100.0,100.0,100.0,57.19236,0.0,2.053526,0.0,71.67378,100.0,100.0,0.9670365,1.0,1.0,0.38868958,0.0
-51.49475,48.598114,-62.99907,43.501465,80.0,-80.0,-33.44419,80.0,31.10167,-39.285812,-52.49923,80.0,-23.750496,-33.334427,80.0,-11.127731,80.0,48.994156,-80.0,80.0,80.0,-37.823788,-58.928093,80.0,-33.89306,-80.0,80.0,61.86194,-80.0,11.993835,0.0,75.867516,7.3105426,0.0,0.0,100.0,100.0,100.0,29.461098,74.01015,0.0,98.84364,94.13535,0.0,100.0,0.0,38.68877,0.0,1.8759727,100.0,68.32851,88.29007,51.011086,28.256746,90.879234,100.0,83.72931,80.74099,23.780941,46.827732,80.24428,92.9271,100.0,96.06491,100.0,94.73251,46.15693,0.0,100.0,25.520123,7.697323,0.0,70.71483,86.23779,0.0,59.59959,100.0,78.12854,37.43802,0.38199127,69.899445,47.493206,27.254946,100.0,100.0,100.0,0.0,22.113995,61.741344,81.39797,0.9646399,1.0,1.0,0.085439324,0.8242774
-80.0,30.847382,52.470886,-52.176266,-21.858643,45.693375,-80.0,80.0,-16.198307,80.0,-80.0,80.0,-60.229603,80.0,50.598007,80.0,80.0,80.0,-40.342407,75.90506,-80.0,-80.0,-80.0,-27.337322,-38.06534,80.0,-27.374119,68.47319,39.386253,-77.465,0.0,1.7734349,41.67697,65.634445,100.0,2.536279,40.87315,100.0,100.0,20.457346,90.75769,99.33696,70.746086,0.0,100.0,89.96532,85.11491,58.641327,59.445755,100.0,100.0,100.0,0.0,2.9162765,15.372604,0.0,100.0,0.0,86.273315,100.0,33.454144,100.0,0.0,67.480644,39.36079,100.0,38.366467,77.84627,100.0,47.921925,79.259834,0.0,51.307697,0.0,0.0,100.0,33.194542,28.113922,51.764053,20.97623,45.665268,100.0,92.07045,58.28035,8.4198,70.34566,0.0,41.57114,0.0,100.0,0.97012997,1.0,1.0,0.6388072,0.24800307
