Time,transformer_tap
1,8
2,9
3,9
4,9
5,9
6,8
7,9
8,9
9,8
10,9
11,8
12,8
13,8
14,8
15,9
16,8
17,8
18,9
19,9
20,9
21,8
22,8
23,9
24,8
