irradiance,PV-0,PV-1,PV-2,PV-3,PV-4,PV-5,PV-6,PV-7,PV-8,PV-9,PV-10,PV-11,PV-12,PV-13,PV-14,PV-15,PV-16,PV-17,PV-18,PV-19,PV-20,PV-21,PV-22,PV-23,PV-24,PV-25,PV-26,PV-27,PV-28,PV-29
0,0,17.955133,100,99.598,100,100,13.414181,100,100,17.234814,85.477615,74.98726,79.79231,39.480465,53.39567,44.75528,34.556408,55.107178,35.70475,2.3900776,0,88.858246,47.282566,38.699635,67.232574,0,28.893969,18.326548,84.707504,38.37721
0,0,37.011932,27.231571,59.19181,24.021435,25.504297,47.026722,59.899418,100,58.167892,100,79.54954,65.02989,0,97.89825,25.258314,71.36659,67.89733,38.988834,0,72.314,0,100,0,88.74209,0,47.97431,86.05599,94.368065,37.625454
0,81.26084,65.8194,100,93.82799,0,73.44123,42.458015,100,100,60.155087,23.005962,61.88028,85.569885,100,0,63.718075,14.538127,55.943794,45.225815,45.36568,21.671143,79.07733,63.882828,0,0,27.44946,100,0,93.91888,33.429676
0,0,99.893166,100,33.59471,46.782154,100,75.082054,80.79781,100,0,0,100,66.84335,50.996216,0,43.61788,77.67512,50.100018,78.00134,100,21.972359,100,100,22.93098,17.963972,50.991173,47.849762,0,79.48676,53.0596
0,88.19897,77.750145,78.51809,81.0005,100,100,15.836188,100,100,22.654924,0,15.725949,100,68.38819,71.21256,47.84314,100,48.05883,7.233873,100,62.00565,94.99676,40.78678,54.870445,61.276054,0,36.276924,100,93.415474,36.172474
0,100,80.39471,22.909325,19.706144,22.780973,25.532644,91.82133,100,55.573715,18.838612,0,0,34.588898,0,100,37.095993,100,96.2887,28.355911,38.520897,55.78565,58.529045,57.38755,90.30941,76.56805,100,30.403196,0,44.649303,45.452812
0,100,79.701256,100,77.22447,70.61007,23.070005,47.785793,100,100,22.549994,24.666151,56.323635,65.953514,55.592285,4.517028,37.6522,83.58657,85.48347,18.175459,0,100,9.641942,0,31.67199,35.50952,0,5.489546,85.467224,100,25.909346
0,0,41.84937,0,10.921248,100,28.39837,75.481705,31.066916,100,36.056454,0,100,100,0,0,85.158485,64.174545,14.109531,0.2862841,0,0,100,0,64.37331,75.79121,0,3.54262,95.67541,1.0491252,63.131107
0.009860051,38.294815,68.991875,69.80394,26.434988,89.99576,100,60.234386,39.210724,0,50.72631,5.9616685,49.49845,100,100,11.700067,100,71.798065,51.428604,80.13176,70.46167,18.796019,66.48512,100,70.10194,100,100,0,89.72968,47.533573,13.58856
0.089535623,0,45.95512,54.17689,51.02163,29.345196,54.742252,51.080383,47.36297,100,8.161312,0,100,77.16529,100,0,50.380028,69.37957,78.586136,100,0,100,100,33.858185,96.559265,41.45399,69.780815,10.144326,100,23.763466,100
0.196246819,100,88.71367,100,100,100,6.1947374,51.95089,55.46212,100,0,100,96.14379,100,100,100,0,67.4419,29.094946,0,100,2.3002028,4.0701747,3.4410806,48.74094,35.352047,0,69.82367,90.146225,46.508175,46.06272
0.293575064,100,100,0,54.105915,9.362522,100,73.217255,68.051735,100,72.51674,29.30837,87.81936,77.41866,25.709856,76.94009,67.511284,100,100,49.708702,100,100,100,18.381554,80.97391,71.86424,100,85.119835,38.347324,100,100
0.354643766,99.83045,77.53126,55.442642,89.935646,32.60101,78.24457,17.58627,42.65006,100,48.34198,28.665089,49.82356,100,0,100,100,84.929665,0,80.42675,100,0,54.643475,0,67.18468,0,67.29277,63.644566,0,0,71.40117
0.368638677,0,55.0462,3.497097,91.300224,100,100,52.25255,49.079044,100,59.66146,9.008539,91.36106,100,91.29094,100,14.089769,42.214302,0,0,70.32206,0,100,71.400085,7.125142,56.099583,41.68421,89.607704,48.28174,29.444727,70.644714
0.301049618,91.28957,69.921684,100,54.193817,43.45099,76.81759,6.1272025,17.448177,100,1.1414081,75.98566,89.41718,7.461539,0,48.70948,48.61092,99.942795,69.7876,98.910034,28.866863,100,100,25.318462,2.7984679,0,30.33372,9.805229,100,0,36.664192
0.235368957,0,60.119087,0,67.014015,48.414677,35.693245,24.394232,67.17324,100,0,100,15.091437,85.15144,100,100,12.810546,96.19981,31.482166,0,64.269356,0,100,54.107605,40.86862,34.659443,0,15.741528,44.169357,85.08915,90.38166
0.12913486,100,29.194324,49.482864,9.393886,49.71513,66.48432,25.405714,100,100,51.4012,11.433533,81.40091,59.640606,100,100,45.52971,59.235752,100,18.088776,100,30.984392,46.586903,0,0,75.85351,100,46.3015,100,40.18208,100
0.025763359,4.969281,0,100,74.40662,100,79.58365,74.015366,100,86.3797,23.31847,16.974926,100,100,100,0,34.213997,91.11607,65.979965,88.294426,0,29.476234,100,36.696484,0,55.796207,2.3489535,19.707289,100,100,33.787563
0,0,66.7782,49.4243,66.59109,40.771004,23.321438,55.977654,100,79.27644,69.92075,90.34578,31.430918,49.215843,100,100,14.550674,9.824496,71.082115,96.69293,5.1935105,0,0,100,93.2183,4.7776403,100,35.41135,71.205315,48.76411,97.41025
0,0,0,100,0,89.325,100,56.91604,100,47.20153,54.34777,58.807278,100,56.40652,51.43958,22.272175,70.52346,15.641147,17.171658,40.9599,82.67792,21.303352,51.92624,66.11042,94.55955,40.377796,0,50.680042,0,0,100
