Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action 16,Action 17,Action 18,Action 19,Action 20,Action 21,Action 22,Action 23,Action 24,Action 25,Action 26,Action 27,Action 28,Action 29,Action 30,Action 31,Action 32,Action 33,Action 34,Action 35,Action 36,Action 37,Action 38,Action 39,Action 40,Action 41,Action 42,Action 43,Action 44,Action 45,Action 46,Action 47,Action 48,Action 49,Action 50,Action 51,Action 52,Action 53,Action 54,Action 55,Action 56,Action 57,Action 58,Action 59,Action 60,Action 61,Action 62,Action 63,Action 64,Action 65,Action 66,Action 67,Action 68,Action 69,Action 70,Action 71,Action 72,Action 73,Action 74,Action 75,Action 76,Action 77,Action 78,Action 79,Action 80,Action 81,Action 82,Action 83,Action 84,Action 85,Action 86,Action 87,Action 88,Action 89,Action 90,Action 91,Action 92,Action 93
-595.3501,-800.0,-70.96179,-222.15015,800.0,-179.65735,-714.57526,-84.54492,-800.0,706.0178,-347.7523,-346.34732,-640.1069,-53.223938,800.0,800.0,800.0,-393.1365,-800.0,800.0,800.0,800.0,608.806,211.41797,770.8312,-800.0,800.0,348.50488,-149.52435,291.3357,1000.0,996.04724,971.46375,1000.0,1000.0,0.0,577.94775,116.40644,715.3509,0.0,1000.0,606.3948,1000.0,1000.0,951.4994,0.0,608.71716,196.93211,0.0,949.30743,95.14925,0.0,244.99872,482.81033,490.24658,0.0,999.8657,740.7634,411.2446,254.36052,1000.0,240.63986,59.90371,0.0,496.0603,208.27519,1000.0,0.0,1000.0,991.1412,54.355442,1000.0,871.3948,1000.0,1000.0,664.9229,513.76385,0.0,823.23914,0.0,484.22778,305.02005,664.08856,436.3433,268.78726,274.80154,1000.0,311.7365,955.22095,1000.0,1.1,0.7851112,0.0
584.39417,800.0,800.0,-800.0,-800.0,-6.015564,-431.97632,-800.0,89.493774,800.0,-276.4547,-800.0,419.52356,-538.36584,74.70105,379.4441,-800.0,418.8662,-300.46198,-167.5498,209.62201,-373.29855,-800.0,402.38184,-800.0,635.912,-387.65472,-40.90497,-800.0,-800.0,1000.0,1000.0,0.0,678.69727,0.0,1000.0,991.9678,254.74042,1000.0,1000.0,418.87335,515.92316,598.0866,545.8216,704.9177,600.2828,1000.0,1000.0,351.4187,1000.0,1000.0,969.4516,372.759,996.3713,1000.0,842.72955,1000.0,310.4739,1000.0,875.85046,0.0,494.8819,743.7892,987.3018,0.0,377.213,411.57336,603.80566,0.0,581.18396,347.12488,427.6785,676.47296,277.3499,1000.0,316.50055,468.72232,0.0,149.36691,225.42056,563.62274,836.5008,732.4206,956.0382,1000.0,539.24884,0.0,1000.0,1000.0,95.47693,1.1,0.8041079,1.0
800.0,397.75146,299.30554,-261.80133,652.8893,-92.890015,-275.00952,-800.0,-518.1498,-290.15656,-800.0,-237.12238,-800.0,800.0,115.34863,-800.0,-800.0,645.3214,-800.0,749.35803,-800.0,-649.0735,576.2698,-175.43219,-489.49222,-800.0,281.82263,571.76917,800.0,510.3894,808.57806,766.0377,457.01108,1000.0,140.7859,655.35126,0.0,0.0,891.15894,785.17316,413.2858,102.953705,1000.0,0.0,1000.0,1000.0,968.0463,0.0,785.0035,1000.0,0.0,391.44623,0.0,776.6727,0.0,550.3854,906.82446,0.0,0.0,493.0417,1000.0,493.94403,0.0,0.0,377.7669,0.0,836.80835,78.52262,209.49194,0.0,0.0,589.7489,680.2691,158.38069,0.0,0.0,473.4806,327.13715,0.0,1000.0,791.48065,0.0,189.26346,221.31056,749.1018,0.0,0.0,497.6948,0.0,329.97742,0.9,0.64231026,1.0
360.26074,800.0,169.6131,800.0,800.0,-485.1243,-294.77896,646.43994,-800.0,800.0,800.0,49.76471,800.0,-708.11914,470.3319,775.0853,-158.50018,-466.87384,800.0,-715.792,-800.0,162.83777,800.0,800.0,-533.20496,800.0,-800.0,499.78406,-698.5459,25.036804,0.0,303.54028,0.0,1000.0,1000.0,1000.0,583.82153,46.27058,831.89557,981.78674,242.55731,554.4138,1000.0,936.9931,1000.0,0.0,90.35256,0.0,0.0,573.0376,0.0,1000.0,826.1461,0.0,786.5105,377.65897,1000.0,392.99756,257.59506,485.9159,1000.0,737.93677,998.85236,521.5979,656.4945,121.69826,0.0,400.8771,825.1382,1000.0,582.70135,965.9152,61.729996,814.91174,0.0,0.0,0.0,519.6255,604.75494,915.196,619.4443,429.21774,872.85767,947.0283,243.97188,1000.0,1000.0,0.0,0.0,669.51685,1.0250924,0.0,0.6573409
-800.0,800.0,800.0,800.0,800.0,-461.69382,800.0,-240.02277,800.0,-97.36951,-32.13806,133.69824,800.0,-685.9344,800.0,-220.11511,-285.3017,800.0,-800.0,800.0,677.7416,800.0,705.02527,-259.2409,-783.31354,-134.17767,-633.34155,-53.08972,-55.55841,-25.230103,760.32697,609.5128,861.95044,679.63165,238.76434,642.28845,0.0,0.0,1000.0,0.0,824.2923,533.2864,0.0,47.853382,579.4495,331.75665,1000.0,565.92883,1000.0,337.44388,814.6467,1000.0,432.08163,0.0,0.0,301.1035,96.143036,841.0731,0.0,165.82826,960.09436,0.0,0.0,537.61115,685.454,376.40192,0.0,0.0,1000.0,1000.0,713.4561,429.3974,160.8679,647.7624,0.0,876.05023,657.0568,659.3513,446.38187,775.0353,172.24577,478.5126,702.931,473.21317,441.6632,1000.0,316.3681,280.83282,661.6353,0.0,0.91203785,1.0,0.9236253
634.3142,368.33032,-800.0,24.35791,-800.0,136.5716,-27.458252,520.10315,-337.9405,103.676636,-800.0,-603.17413,32.927063,800.0,-190.97217,408.72803,800.0,-245.00067,-316.0863,-99.81824,-362.27994,34.627136,-56.930298,-800.0,800.0,-800.0,483.0381,-327.13367,800.0,-800.0,0.0,407.8916,0.0,815.77985,283.5944,265.90527,41.46543,245.09605,1000.0,0.0,1000.0,0.0,721.0858,1000.0,1000.0,0.0,1000.0,218.58672,0.0,538.6486,31.02994,1000.0,678.2644,357.3856,480.35223,0.0,185.52345,358.84006,758.65735,671.8432,294.60602,1000.0,495.48392,1000.0,1000.0,0.0,1000.0,868.77527,1000.0,187.67363,335.07733,622.59235,0.0,671.6509,1000.0,272.6561,0.0,580.2037,22.933632,234.90956,1000.0,234.82288,943.2203,302.13034,0.0,347.87192,810.6524,966.1826,848.0489,1000.0,1.032169,0.8521702,0.0
428.71326,-574.20184,-800.0,210.71759,419.5293,-503.79166,-4.034424,539.61206,-377.35434,800.0,19.345825,-692.32025,630.10046,-126.87787,308.64392,-88.89722,-323.5259,361.22913,-550.17944,-687.3413,380.32202,800.0,606.76855,-800.0,-800.0,297.66162,-800.0,-800.0,92.08319,-292.16995,1000.0,0.0,404.09964,203.80086,295.3652,547.6643,61.156662,1000.0,703.3007,838.20715,263.60196,446.24792,315.33942,1000.0,845.1487,287.98718,440.13446,864.67004,0.0,778.8586,303.6682,328.20703,166.02754,0.0,1000.0,1000.0,645.6523,1000.0,354.26175,1000.0,407.13187,388.75284,309.9212,747.4704,205.90442,963.81866,564.53796,0.0,270.48315,1000.0,463.0838,1000.0,596.4379,1000.0,1000.0,0.0,1000.0,1000.0,649.7355,222.25893,0.0,862.1849,1000.0,0.0,147.40228,872.42175,1000.0,1000.0,386.18106,981.47296,0.9,0.0,0.58899164
460.3098,194.23865,-187.8883,-235.71362,-204.68677,444.59473,800.0,577.17834,389.35657,800.0,-327.2204,800.0,800.0,96.94861,-800.0,-407.83792,-411.95868,50.26996,234.88489,-463.867,800.0,-800.0,800.0,-800.0,800.0,-150.27686,800.0,609.60803,800.0,-225.58191,272.66592,0.0,1000.0,894.268,1000.0,667.5526,1000.0,942.46326,512.33325,350.48776,311.73276,834.9947,1000.0,1000.0,187.59915,127.23139,1000.0,531.4658,896.0789,0.0,292.70755,1000.0,529.34686,0.0,782.1589,112.40375,245.2133,1000.0,1000.0,138.77321,105.42834,628.95154,236.97787,647.2665,46.90242,159.46996,315.34995,151.84543,338.73047,546.15344,0.0,936.99884,0.0,0.0,390.1712,724.7516,471.1008,1000.0,290.5966,327.63544,399.06866,732.09357,36.49658,179.27217,254.32217,236.90099,948.1888,0.0,437.50232,451.5632,1.1,0.38499293,0.64835495
-147.49957,474.4879,-265.26086,537.0542,494.21985,800.0,800.0,143.93817,800.0,-430.51013,446.31494,482.66406,-205.19714,-800.0,602.27075,-800.0,84.833435,-800.0,520.7058,530.09705,-693.0273,-82.34918,-800.0,-800.0,-800.0,800.0,-800.0,800.0,533.0963,-285.81323,152.93259,544.8692,403.58075,811.2637,214.60023,152.60922,656.3254,1000.0,466.18356,1000.0,949.03125,0.0,149.5412,1000.0,849.28656,0.0,0.0,577.73663,1000.0,202.91954,0.0,0.0,1000.0,1000.0,53.64758,1000.0,481.67435,583.4379,431.54538,738.0884,170.9429,667.48456,0.0,220.21078,808.1208,652.1815,0.0,651.971,1000.0,747.3103,1000.0,337.81296,806.4979,0.0,659.2281,0.0,790.12665,543.3576,176.38403,719.1926,0.0,820.57715,491.3652,414.63425,1000.0,789.432,1000.0,0.0,0.0,216.00363,1.1,0.7691334,1.0
800.0,-488.30386,-203.39941,474.9973,-156.22937,-19.746521,800.0,-68.96643,800.0,-70.567444,-436.6072,-296.34323,-800.0,697.6863,-800.0,-800.0,-800.0,-149.79822,800.0,-631.5261,-673.2084,-740.0588,800.0,-32.839905,-800.0,800.0,253.04639,-783.80505,475.07117,748.46704,160.57494,0.0,1000.0,0.0,653.0475,1000.0,674.5973,1000.0,257.798,889.38837,675.0916,1000.0,263.89307,699.2166,461.96725,643.062,0.0,88.83226,227.9903,643.3023,233.29666,370.12598,780.89435,1000.0,562.00134,0.0,711.5866,0.0,0.0,1000.0,0.0,723.2602,729.5065,742.4022,665.7043,110.183685,0.0,1000.0,1000.0,355.73154,401.91058,161.13644,597.05853,0.0,983.4112,432.1922,564.6926,559.71954,212.36345,0.0,437.81494,455.31796,895.34607,1000.0,412.67648,966.66846,1000.0,1000.0,0.0,0.0,1.1,0.21880755,0.690933
