Time,transformer_tap
1,14
2,22
3,31
4,31
5,3
6,0
7,27
8,31
9,30
10,4
11,31
12,31
13,0
14,19
15,1
16,20
17,0
18,31
19,31
20,31
21,1
22,31
23,18
24,31
